Mean,SD,Var,KUR,SKEW,Entr,Class
15.41849088,2359.331649,2783222.914,314.7781388,482.0463703,67.14521417,0
536.9617851,78060.34582,3046708794,265.9934717,445.2875194,38.77376551,0
735.215561,106874.261,5711053831,266.6410286,445.5195238,38.12533375,0
733.3494674,106172.2392,5636272189,260.9349302,441.4241842,37.21810297,0
14.71502029,2366.199706,2799450.524,348.8334499,506.8756855,67.60133181,0
16.49071111,2628.093423,3453437.519,333.9855053,497.3275722,67.09887093,0
9.84706325,1606.071296,1289732.503,355.6139415,507.4029402,60.17585062,0
11.54816187,1786.209049,1595271.383,323.8668867,488.8760834,69.55769978,0
12.60859583,2059.804207,2121396.685,352.3464633,509.9624428,69.27323741,0
120.4962908,20712.65944,214507130.4,388.0552214,544.2993536,50.05397303,0
70.02570411,11787.90722,69477378.37,336.0419323,504.8758409,60.51135343,0
20.35494711,3496.304886,6112073.928,353.4436852,516.5627738,65.97042694,0
67.72966898,11632.39513,67656308.24,354.8373303,518.1548107,61.24561729,0
16.11917264,2712.405296,3678571.245,352.1830757,513.5969233,62.5936485,0
1025.682069,151957.6329,11545561098,268.8242963,447.9840466,35.79906937,0
46.74914611,7063.745677,24948251.5,261.3027436,444.1032743,60.85067298,0
8.39784864,1328.516898,882478.5741,278.2412216,459.8204696,64.07867613,0
15.39715556,2534.324918,3211401.396,402.8478995,546.7472981,57.05089308,0
69.04099666,11009.09415,60600076.96,366.724875,523.606007,50.10710332,0
28.33471243,4533.366378,10275705.36,327.5592648,491.5429714,55.78869768,0
32.37572398,5364.052901,14386531.76,350.6926401,508.0966283,57.62333349,0
13.33967763,2233.354625,2493936.44,355.9689551,514.4365127,69.13043122,0
18.69861346,3019.063267,4557371.505,387.4740696,536.2746025,56.21410635,0
73.3346948,9921.749656,49220558.12,242.9798116,422.8768312,48.79622591,0
35.82331183,5447.580902,14838068.84,317.2688166,479.2744417,57.79824958,0
6.996867603,1268.061952,803990.5568,412.2478835,557.9899683,71.08038802,0
19.13052353,2968.571737,4406209.079,316.8218131,484.7412926,67.06569675,0
104.6520213,15230.46577,115983543.8,286.4644381,459.4621263,47.82471057,0
91.17335449,12975.55416,84182502.91,271.6023753,446.5972348,49.72768166,0
147.3678805,24640.25288,303571031,329.7744495,500.4718629,55.56855595,0
147.3676661,24640.21725,303570153.1,329.7670459,500.4667158,55.56855595,0
12.82704811,2155.851388,2323847.603,355.2817491,514.9905395,68.01986796,0
8.204802167,1516.203241,1149436.133,455.280238,582.5360091,68.42455944,0
19.94807542,3183.361894,5066896.473,322.2561608,490.0788116,66.14942918,0
22.16603593,3461.843616,5992180.611,316.2797984,484.9897478,65.88615139,0
30.45300372,4718.987984,11134423.8,311.6007448,481.5078981,63.57749848,0
63.94096,10019.7567,50197762.13,321.8162337,488.5684649,59.28766431,0
25.20310516,3729.916936,6956140.175,245.5420931,430.7629455,57.351658,0
8.553800093,1357.276989,921100.4125,322.3510294,489.7289801,71.3804961,0
28.59672389,4538.08122,10297090.58,337.8539653,499.1608368,65.30082884,0
12.32467091,1956.152489,1913266.279,340.9323041,501.2577984,68.86888116,0
18.25976268,2906.766919,4224646.96,343.2793406,503.0855514,65.28119572,0
16.53563318,2655.419712,3525626.924,384.7904887,534.8393467,56.13787867,0
263.9840273,39772.00336,790906125.5,296.8792125,469.7617799,45.3854677,0
137.3403895,20274.98471,205537502.5,274.2432796,452.4640184,51.12748958,0
39.03718933,6094.790536,18573235.84,302.9211154,475.7266049,63.61321963,0
61.70621792,9357.583961,43782188.8,367.6433565,511.8850056,55.96703597,0
56.50503207,8613.193514,37093551.26,303.1895626,474.2963259,59.91559526,0
16.06512487,2091.594481,2187383.737,187.8978798,376.7194437,62.49686386,0
50.78051764,7996.269125,31970159.96,322.5450161,489.3111378,60.80313981,0
14.80707934,2412.009926,2908895.94,346.1687503,506.1950677,68.76366968,0
18.23591361,2384.594604,2843145.712,183.8531938,372.5355887,55.06338383,0
10.13757691,1256.001595,788770.0033,189.561295,376.0012975,62.91032155,0
16.13815324,2237.664865,2503572.025,248.8418103,430.3462234,52.27567429,0
23.69001654,3170.823272,5027060.111,196.8299015,384.0157688,52.77826181,0
52.98474454,7344.021248,26967324.05,232.7622005,415.4419332,56.28935626,0
53.46951503,7512.891873,28221772.15,235.9596755,419.6686104,57.22097279,0
12.75631992,1983.42785,1966993.018,274.045968,455.5936016,69.25990841,0
43.34527118,6600.075412,21780497.72,314.7981301,482.220275,58.08467954,0
16.69606242,2558.611621,3273246.714,263.1224907,445.6741843,58.15973096,0
85.21514271,14158.57725,100232654.8,332.6461201,500.0576421,60.41268017,0
25.13274118,4396.997148,9666791.959,371.5807361,528.4687621,66.44497563,0
34.59107788,4978.412773,12392296.87,265.1013917,442.0968193,58.5600705,0
10.66276601,1671.843531,1397530.396,356.2266237,516.4245329,57.80824926,0
8.275480096,1257.474263,790620.7611,306.1518863,476.4579903,70.33546595,0
55.95998823,8674.637683,37624669.46,319.6159439,486.483641,59.77769168,0
12.65224063,1907.550654,1819374.748,291.1401681,466.3392504,68.18932838,0
55.93276264,8559.609953,36633461.27,281.1938852,456.5223464,56.37928302,0
36.09208319,5692.61489,16202932.15,315.3225531,481.1929677,56.89907254,0
11.04385879,1766.263987,1559844.236,375.0147283,528.5870395,58.03259025,0
32.15050316,5336.011261,14236508.09,374.4670773,520.8416651,58.28140871,0
43.02744107,7091.470456,25144476.61,445.4305426,561.5121998,57.68793015,0
53.83477129,8392.848616,35219953.94,362.2053685,508.8816601,58.25476535,0
112.0177329,17852.13707,159349398.9,316.940743,484.8713444,50.42819946,0
186.4989003,29460.21211,433952048.9,402.6093516,543.8536968,46.65149908,0
11.66754106,2013.151922,2026390.331,414.8461524,558.787191,59.55457614,0
36.84935032,6159.756818,18971302.03,339.8358895,505.3995532,65.67676152,0
